Date of Data,Close,Open,High,Low,Close(Nikkei 225 Net Total Return Index)
2014/03/01, 21625.48 , 21215.42 , 22115.80 , 20596.06 , 20387.76 
2014/04/01, 20861.66 , 21573.21 , 21981.41 , 20287.11 , 19667.64 
2014/05/01, 21340.48 , 21125.67 , 21412.44 , 20427.53 , 20119.06 
2014/06/01, 22141.62 , 21783.18 , 22428.06 , 21779.58 , 20868.87 
2014/07/01, 22812.87 , 22381.26 , 22850.05 , 22144.46 , 21501.25 
2014/08/01, 22539.31 , 22670.25 , 22802.09 , 21582.68 , 21240.90 
2014/09/01, 23770.65 , 22615.31 , 23972.18 , 22615.31 , 22375.11 
2014/10/01, 24125.54 , 23636.51 , 24125.54 , 21358.70 , 22708.83 
2014/11/01, 25665.29 , 24785.58 , 25710.72 , 24666.03 , 24157.75 
2014/12/01, 25683.09 , 25856.75 , 26364.68 , 24629.66 , 24168.55 
2015/01/01, 26013.99 , 25621.19 , 26192.58 , 24719.38 , 24479.58 
2015/02/01, 27682.88 , 25844.18 , 27682.88 , 25517.13 , 26047.12 
2015/03/01, 28452.14 , 27725.50 , 29092.06 , 27487.27 , 26739.02 
2015/04/01, 28916.68 , 28197.13 , 29905.72 , 28197.13 , 27175.44 
2015/05/01, 30462.00 , 28933.89 , 30462.00 , 28578.89 , 28627.72 
2015/06/01, 30041.85 , 30471.95 , 30919.68 , 29615.32 , 28220.46 
2015/07/01, 30562.32 , 30180.79 , 30941.86 , 29302.38 , 28709.08 
2015/08/01, 28061.09 , 30507.19 , 30894.13 , 26437.20 , 26356.69 
2015/09/01, 26001.86 , 26984.44 , 27882.88 , 25318.01 , 24389.64 
2015/10/01, 28538.43 , 26501.72 , 28538.43 , 26501.72 , 26768.53 
2015/11/01, 29535.62 , 27941.21 , 29830.17 , 27941.21 , 27703.21 
2015/12/01, 28507.92 , 29931.87 , 29931.87 , 27768.40 , 26731.65 
2016/01/01, 26240.18 , 27635.13 , 27635.13 , 23990.00 , 24604.82 
2016/02/01, 24021.78 , 26759.84 , 26759.84 , 22397.11 , 22521.67 
2016/03/01, 25307.89 , 24109.84 , 25830.88 , 24109.84 , 23691.45 
2016/04/01, 25168.02 , 24410.10 , 26536.87 , 23732.35 , 23560.50 
2016/05/01, 26027.20 , 24384.76 , 26027.20 , 24323.36 , 24364.80 
2016/06/01, 23563.61 , 25605.49 , 25605.49 , 22583.66 , 22050.61 
2016/07/01, 25068.29 , 23724.82 , 25430.91 , 22854.20 , 23458.29 
2016/08/01, 25566.82 , 25168.90 , 25598.70 , 24332.76 , 23921.54 
2016/09/01, 25078.37 , 25626.53 , 25861.40 , 24837.07 , 23431.45 
2016/10/01, 26566.39 , 25305.27 , 26596.36 , 25305.27 , 24821.49 
2016/11/01, 27917.34 , 26595.01 , 28028.25 , 24780.85 , 26082.96 
2016/12/01, 29187.34 , 28229.38 , 29725.86 , 27866.27 , 27261.69 
2017/01/01, 29077.97 , 29919.97 , 29919.97 , 28688.96 , 27159.14 
2017/02/01, 29214.45 , 29240.97 , 29716.24 , 28874.07 , 27283.23 
2017/03/01, 29096.37 , 29633.97 , 30001.00 , 29011.46 , 27134.54 
2017/04/01, 29538.81 , 29210.19 , 29681.37 , 28213.71 , 27547.11 
2017/05/01, 30237.31 , 29713.89 , 30715.83 , 29713.89 , 28198.46 
2017/06/01, 30884.90 , 30559.62 , 31165.62 , 30516.78 , 28791.29 
2017/07/01, 30720.17 , 30919.39 , 31134.73 , 30720.17 , 28637.34 
2017/08/01, 30309.05 , 30813.62 , 30958.93 , 29840.10 , 28250.50 
2017/09/01, 31607.78 , 30378.83 , 31618.39 , 29736.05 , 29422.53 
2017/10/01, 34186.47 , 31676.88 , 34186.47 , 31676.88 , 31821.33 
2017/11/01, 35300.22 , 34823.62 , 35629.55 , 34218.08 , 32856.89 
2017/12/01, 35413.76 , 35446.35 , 35641.30 , 34449.10 , 32952.82 
2018/01/01, 35934.98 , 36567.09 , 37528.20 , 35934.98 , 33437.34 
2018/02/01, 34351.49 , 36538.33 , 36538.33 , 32910.54 , 31960.30 
2018/03/01, 33650.39 , 33816.38 , 34195.62 , 32094.06 , 31259.88 
2018/04/01, 35241.80 , 33547.31 , 35241.80 , 33396.28 , 32737.89 
2018/05/01, 34824.56 , 35304.79 , 36080.17 , 34537.05 , 32350.30 
2018/06/01, 35050.37 , 34776.77 , 36023.80 , 34776.77 , 32547.83 
2018/07/01, 35444.27 , 34276.31 , 35819.89 , 33859.98 , 32913.17 
2018/08/01, 35955.60 , 35747.55 , 35962.44 , 34350.30 , 33383.86 
2018/09/01, 38173.51 , 35707.51 , 38173.51 , 35078.00 , 35397.02 
2018/10/01, 34722.20 , 38372.48 , 38411.82 , 33473.71 , 32191.14 
2018/11/01, 35411.41 , 34355.30 , 35621.89 , 34072.74 , 32828.76 
2018/12/01, 31769.86 , 35765.82 , 35765.82 , 30348.98 , 29441.51 
2019/01/01, 32976.92 , 31051.11 , 32976.92 , 31051.11 , 30559.59 
