"Date","Price","Open","High","Low","Change %"
"Jun 12","79.81","78.39","80.62","77.69","1.85%"
"May 12","78.36","79.80","80.61","78.22","-1.80%"
"Apr 12","79.80","83.00","83.30","79.72","-3.63%"
"Mar 12","82.81","81.17","84.19","80.58","1.96%"
"Feb 12","81.22","76.23","81.61","76.00","6.55%"
"Jan 12","76.23","76.97","78.32","76.17","-0.95%"
"Dec 11","76.96","77.59","78.24","76.90","-0.70%"
"Nov 11","77.50","78.14","78.61","76.56","-0.90%"
"Oct 11","78.20","77.14","79.52","75.56","1.48%"
"Sep 11","77.06","76.69","77.88","76.11","0.59%"
"Aug 11","76.61","77.43","80.26","75.95","-0.18%"
"Jul 11","76.75","80.53","81.50","76.75","-4.69%"
"Jun 11","80.53","81.50","81.53","79.68","-1.24%"
"May 11","81.54","81.13","82.25","79.57","0.38%"
"Apr 11","81.23","83.22","85.56","81.04","-2.32%"
"Mar 11","83.16","81.81","83.30","76.26","1.69%"
"Feb 11","81.78","82.07","84.00","81.11","-0.37%"
"Jan 11","82.08","81.19","83.68","80.95","1.12%"
"Dec 10","81.17","83.69","84.53","80.94","-3.01%"
"Nov 10","83.69","80.31","84.42","80.24","4.10%"
"Oct 10","80.39","83.50","83.98","80.38","-3.69%"
"Sep 10","83.47","84.17","85.94","82.86","-0.83%"
"Aug 10","84.17","86.39","86.89","83.58","-2.66%"
"Jul 10","86.47","88.37","89.17","85.95","-2.19%"
"Jun 10","88.41","91.20","92.91","88.28","-3.11%"
"May 10","91.25","93.92","94.98","88.00","-2.75%"
"Apr 10","93.83","93.45","94.78","91.61","0.39%"
"Mar 10","93.47","88.83","93.64","88.11","5.18%"
"Feb 10","88.87","89.81","92.16","88.56","-1.59%"
"Jan 10","90.31","92.98","93.78","89.12","-2.81%"
"Dec 09","92.92","86.30","93.16","86.12","7.60%"
"Nov 09","86.36","89.69","91.34","84.83","-4.15%"
"Oct 09","90.10","89.71","92.34","88.00","0.37%"
"Sep 09","89.77","92.97","93.46","88.24","-3.50%"
"Aug 09","93.03","94.73","97.80","92.55","-1.74%"
"Jul 09","94.68","96.36","97.01","91.74","-1.71%"
"Jun 09","96.33","95.33","98.90","94.45","1.06%"
